smiles,logK1,metal_type,n_atoms,n_dative_bonds,donor_elements,n_measurements
Brc1cc2cccn3->[Ag]<-n4cccc1c4c23,5.3,Ag,16,2,N,1
Brc1cc2cccn3->[Fe+2]<-n4cccc1c4c23,5.65,Fe,16,2,N,1
Brc1ccc(N->[Cd+2])cc1,-0.49,Cd,9,1,N,1
Brc1ccc2n(->[Ba+2]<-N2)c1,-0.34,Ba,9,2,N,1
Brc1ccc2n(->[Ca+2]<-N2)c1,-0.21,Ca,9,2,N,1
Brc1ccc2n(->[Cd+2]<-N2)c1,0.59,Cd,9,2,N,1
Brc1ccc2n(->[Co+2]<-N2)c1,0.09,Co,9,2,N,1
Brc1ccc2n(->[Cu+2]<-N2)c1,0.98,Cu,9,2,N,1
Brc1ccc2n(->[Mg+2]<-N2)c1,-0.08,Mg,9,2,N,1
Brc1ccc2n(->[Mn+2]<-N2)c1,-0.03,Mn,9,2,N,1
Brc1ccc2n(->[Ni+2]<-N2)c1,0.17,Ni,9,2,N,1
Brc1ccc2n(->[Sr+2]<-N2)c1,-0.24,Sr,9,2,N,1
Brc1ccc2n(->[Zn+2]<-N2)c1,0.07,Zn,9,2,N,1
Brc1cccn(->[Ag])c1,1.66,Ag,8,1,N,1
Brc1cccn(->[Cd+2])c1,0.64,Cd,8,1,N,1
Brc1ccn(->[Ba+2])cc1,-0.06,Ba,8,1,N,1
Brc1ccn(->[Cd+2])cc1,1.14,Cd,8,1,N,1
Brc1ccn(->[Sr+2])cc1,-0.06,Sr,8,1,N,1
C#CC(O)=O->[La+3],1.31,La,6,1,O,1
C#N->[Cd+2],5.55,Cd,3,1,N,3
C#N->[Hg+2],17.0,Hg,3,1,N,1
C#N->[Mn+2],1.9,Mn,3,1,N,1
C#N->[Zn+2],5.085,Zn,3,1,N,2
C(CCCCN12->[Cu+2]<-N(CCNCC1)CC2)CCCN1CCNCCNCC1,21.7,Cu,27,2,N,1
C(CCCCN12->[Zn+2]<-N(CCNCC1)CC2)CCCN1CCNCCNCC1,14.84,Zn,27,2,N,1
C(CCCN12->[Zn+2]<-N(CCNCC1)CC2)CCN1CCNCCNCC1,15.2,Zn,25,2,N,1
C(CCCN1CCNCCNCC1)CCCN12->[Cu+2]<-N(CCNCC1)CC2,21.2,Cu,26,2,N,1
C(CCCN1CCNCCNCC1)CCCN12->[Zn+2]<-N(CCNCC1)CC2,15.2,Zn,26,2,N,1
C(CCN12->[Cu+2]<-N(CCNCC1)CC2)CN1CCNCCNCC1,23.02,Cu,23,2,N,1
C(CCN12->[Ni+2]<-N(CCNCC1)CC2)CN1CCNCCNCC1,20.8,Ni,23,2,N,1
C(CCN12->[Zn+2]<-N(CCNCC1)CC2)CN1CCNCCNCC1,17.76,Zn,23,2,N,1
C(CCN1CCNCCNCC1)CCN12->[Cd+2]<-N(CCNCC1)CC2,18.2,Cd,24,2,N,1
C(CCN1CCNCCNCC1)CCN12->[Co+2]<-N(CCNCC1)CC2,16.9,Co,24,2,N,1
C(CCN1CCNCCNCC1)CCN12->[Cu+2]<-N(CCNCC1)CC2,21.35,Cu,24,2,N,2
C(CCN1CCNCCNCC1)CCN12->[Pb+2]<-N(CCNCC1)CC2,18.3,Pb,24,2,N,1
C(CCN1CCNCCNCC1)CCN12->[Zn+2]<-N(CCNCC1)CC2,16.505,Zn,24,2,N,2
C(CN1->[Cd+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,10.7,Cd,19,2,N,1
C(CN1->[Cd+2]<-n2nn[nH]c2CC1)c1nnn[nH]1,6.66,Cd,16,2,N,1
C(CN1->[Co+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,14.39,Co,19,2,N,1
C(CN1->[Co+2]<-n2nn[nH]c2CC1)c1nnn[nH]1,5.8,Co,16,2,N,1
C(CN1->[Cu+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,17.3,Cu,19,2,N,1
C(CN1->[Cu+2]<-n2nn[nH]c2CC1)c1nnn[nH]1,9.55,Cu,16,2,N,1
C(CN1->[Hg+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,12.5,Hg,19,2,N,1
C(CN1->[Ni+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,15.25,Ni,19,2,N,1
C(CN1->[Ni+2]<-n2nn[nH]c2CC1)c1nnn[nH]1,6.55,Ni,16,2,N,1
C(CN1->[Zn+2]<-N(CCc2nnn[nH]2)CC1)c1nnn[nH]1,11.17,Zn,19,2,N,1
C(CN1->[Zn+2]<-n2nn[nH]c2CC1)c1nnn[nH]1,7.46,Zn,16,2,N,1
C(CN1CCNCCNCC1)CN12->[Cu+2]<-N(CCNCC1)CC2,26.36,Cu,22,2,N,2
C(CN1CCNCCNCC1)CN12->[Ni+2]<-N(CCNCC1)CC2,25.15,Ni,22,2,N,1
C(CN1CCNCCNCC1)CN12->[Zn+2]<-N(CCNCC1)CC2,18.99,Zn,22,2,N,1
C(Cc1nnn[nH]1)NCCN1->[Cd+2]<-N(CCc2nnn[nH]2)CC1,13.24,Cd,22,2,N,1
C(Cc1nnn[nH]1)NCCN1->[Co+2]<-N(CCc2nnn[nH]2)CC1,21.35,Co,22,2,N,1
C(Cc1nnn[nH]1)NCCN1->[Cu+2]<-N(CCc2nnn[nH]2)CC1,22.98,Cu,22,2,N,1
C(Cc1nnn[nH]1)NCCN1->[Fe+2]<-N(CCc2nnn[nH]2)CC1,15.72,Fe,22,2,N,1
C(Cc1nnn[nH]1)NCCN1->[Hg+2]<-N(CCc2nnn[nH]2)CC1,20.25,Hg,22,2,N,1
C(Cc1nnn[nH]1)NCCN1->[Ni+2]<-N(CCc2nnn[nH]2)CC1,19.0,Ni,22,2,N,1
C(Cc1nnn[nH]1)NCCN1->[Zn+2]<-N(CCc2nnn[nH]2)CC1,17.52,Zn,22,2,N,1
C(\c1ccccn1)=N1->[Cd+2]<-N/1c1ccccn1,5.43,Cd,16,2,N,1
C(\c1ccccn1)=N1->[Cu+2]<-N/1c1ccccn1,11.0,Cu,16,2,N,1
