idx,smiles,metal_type,logK1_true,logK1_pred,uncertainty,cv,agreement_ratio,mean_attr,is_agreed,criterion_used,scenario,n_nodes
0,Brc1cc2cccn3->[Ag]<-n4cccc1c4c23,Ag,5.3,6.898419761657715,2.0391059304875307,0.2955902947253425,0.5,0.11788763105869293,True,mean,C,16
1,Brc1cc2cccn3->[Fe+2]<-n4cccc1c4c23,Fe,5.65,7.1540790557861325,1.7928889020623298,0.2506107198539081,0.3125,-0.04819375276565552,False,none,D,16
2,Brc1ccc(N->[Cd+2])cc1,Cd,-0.49,0.22341747283935548,0.5375654917247003,2.406103179366045,1.0,-0.2714831100569831,True,both,C,9
3,Brc1ccc2n(->[Ba+2]<-N2)c1,Ba,-0.34,0.09610475301742553,0.6366883382900195,6.624941205296853,0.0,0.0,False,none,D,9
4,Brc1ccc2n(->[Ca+2]<-N2)c1,Ca,-0.21,0.2995620608329773,0.4764277878026926,1.5904143084004483,0.2222222222222222,-0.010225534439086914,True,mean,C,9
5,Brc1ccc2n(->[Cd+2]<-N2)c1,Cd,0.59,0.6421865344047546,0.3098559106951429,0.4825014136778026,0.7777777777777778,-0.07417331801520453,True,both,C,9
6,Brc1ccc2n(->[Co+2]<-N2)c1,Co,0.09,0.49131510257720945,0.34424053376488156,0.7006512357530973,0.4444444444444444,-0.07403533988528782,True,mean,C,9
7,Brc1ccc2n(->[Cu+2]<-N2)c1,Cu,0.98,0.7747799038887024,0.12123663155377196,0.15647880248993612,1.0,-0.39709952142503524,True,both,C,9
8,Brc1ccc2n(->[Mg+2]<-N2)c1,Mg,-0.08,0.33702377080917356,0.44767842270948566,1.328328923608673,0.0,0.0,False,none,D,9
9,Brc1ccc2n(->[Mn+2]<-N2)c1,Mn,-0.03,0.4972761392593384,0.3375669566130006,0.6788320008995111,0.5555555555555556,-0.09106574455897014,True,mean,C,9
10,Brc1ccc2n(->[Ni+2]<-N2)c1,Ni,0.17,0.5740224361419678,0.32429201366964716,0.5649465826618717,0.6666666666666666,-0.11582598421308729,True,mean,C,9
11,Brc1ccc2n(->[Sr+2]<-N2)c1,Sr,-0.24,0.15724438428878784,0.588535647795269,3.7428086888902268,0.1111111111111111,-0.0004651082886589898,True,mean,C,9
12,Brc1ccc2n(->[Zn+2]<-N2)c1,Zn,0.07,0.42566431760787965,0.38603948574079305,0.9069106095390668,0.5555555555555556,-0.03705287641949124,True,mean,C,9
13,Brc1cccn(->[Ag])c1,Ag,1.66,1.6551697731018067,0.18385218119707233,0.11107753668829469,0.75,-0.10606266558170319,True,both,C,8
14,Brc1cccn(->[Cd+2])c1,Cd,0.64,0.8437313199043274,0.12108891040207408,0.14351596005207515,0.75,-0.1656978726387024,True,both,C,8
15,Brc1ccn(->[Ba+2])cc1,Ba,-0.06,0.2616926908493042,0.5115290570756892,1.9546937112212024,0.375,-0.01724819839000702,True,mean,C,8
16,Brc1ccn(->[Cd+2])cc1,Cd,1.14,0.9764011144638062,0.1551222017860628,0.15887138952237745,0.75,-0.22482836246490479,True,both,C,8
17,Brc1ccn(->[Sr+2])cc1,Sr,-0.06,0.32956632375717165,0.44658260835118685,1.3550614130108578,0.5,-0.3994460180401802,True,mean,C,8
18,C#CC(O)=O->[La+3],La,1.31,1.316741418838501,0.10443207391196418,0.07931099638688653,0.6666666666666666,-0.21783127387364706,True,mean,A,6
19,C#N->[Cd+2],Cd,5.55,5.396917247772217,0.31766539134866145,0.058860526623748015,0.6666666666666666,1.2708615064620972,False,none,B,3
20,C#N->[Hg+2],Hg,17.0,14.409293365478515,3.6853173504745214,0.2557597556660015,0.6666666666666666,1.2761239210764568,True,mean,C,3
