smiles,true_dent,pred_dent,dent_correct,molecular_acc,balanced_acc,donor_recall,neg_acc,overall_acc,tp,fp,tn,fn
Fc1ccnc(-c2[c]c3ccccc3s2)c1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,14,0
CC1(C)C(P(C2=C(P(c3ccccc3)c3ccccc3)c3ccccc3C2(C)C)c2ccccc2)=C(P(c2ccccc2)c2ccccc2)c2ccccc21,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,52,0
CC1(C)C(P(C2=C(P(c3ccccc3)c3ccccc3)c3ccc4ccccc4c3C2(C)C)c2ccccc2)=C(P(c2ccccc2)c2ccccc2)c2ccc3ccccc3c21,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,60,0
CC(C)(C)/C([O-])=N\c1ccccc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,11,0
Cc1ccc(-n2c(-c3ccccc3)nnc2-c2ccccn2)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,22,0
Cc1ccc(-n2c(-c3ccccc3)nnc2-c2ccncn2)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,22,0
Cc1ccc(-n2c(-c3ccccc3)nnc2-c2cnccn2)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,22,0
C1=N/c2ccccc2/N=C/c2ccccc2[N-]c2ccccc2[N-]c2ccccc2/1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,26,0
COc1c(OC)c(C(c2ccccc2)c2ccccc2)c(/N=C2C(=N/c3c(C)cccc3C)/c3cccc4cccc/2c34)c(C(c2ccccc2)c2ccccc2)c1OC,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,58,0
COc1c(OC)c(C(c2ccccc2)c2ccccc2)c(/N=C2C(=N/c3c(C)cc(C)cc3C)/c3cccc4cccc/2c34)c(C(c2ccccc2)c2ccccc2)c1OC,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,59,0
CP(C)C,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,3,0
Cc1ccncc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,6,0
CC(C)(C)c1cc(/C=N/[C@@H](c2ccccc2)[C@@H](/N=C/c2cc(C(C)(C)C)cc(C(C)(C)C)c2[O-])c2ccccc2)c([O-])c(C(C)(C)C)c1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,44,0
O=C(OPC(c1ccccc1)(c1ccccc1)c1ccccc1)C(F)(F)F,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,26,0
[C]c1ccc(C)cc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,7,0
[O-]/C(=N\N=C\c1ccc2ccccc2n1)c1ccccc1O,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,19,0
N#C[C@@]1(Cc2ccccc2)CCc2ccc(-c3ccccn3)nc21,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,22,0
Cc1cc(C)[nH]n1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,6,0
COc1ccc(C(c2ccc(OC)cc2)c2cc(OC(F)(F)F)cc(C(c3ccc(OC)cc3)c3ccc(OC)cc3)c2/N=C2C(=N/c3ccc(C)cc3C)/c3cccc4cccc/2c34)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,65,0
COc1ccc(C(c2ccc(OC)cc2)c2cc(OC(F)(F)F)cc(C(c3ccc(OC)cc3)c3ccc(OC)cc3)c2/N=C2C(=N/c3c(C)cc(C)cc3C)/c3cccc4cccc/2c34)cc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,66,0
O=[N+]([O-])c1ccc(-c2c3nc(c(-c4c(F)cccc4F)c4ccc([n-]4)c(-c4ccc([N+](=O)[O-])cc4)c4ccc([n-]4)c4ccc2[n-]4)C=C3)cc1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,45,0
O=P([N-]c1ccccn1)(c1ccccc1)c1ccccc1,2,3,0.0,0.0,0.9736842105263157,1.0,0.9473684210526315,0.9523809523809523,2,1,18,0
Cc1[c]cccc1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,6,0
[O-]c1c(Cl)cc(Cl)c2cccnc12,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,11,0
[S-]/C(=C(\[S-])c1ccccc1)c1ccccc1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,14,0
CN/C([S-])=N/N=C/c1cc(Br)ccc1[O-],3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,12,0
CCP(CC)CCP(CC)CC,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,10,0
Cc1cc(C)c([O-])c(CN(C)CCN(C)Cc2cc(C)cc(C)c2[O-])c1,4,4,1.0,1.0,1.0,1.0,1.0,1.0,4,0,22,0
C=C/C(=C\c1ccccc1)[S@](=O)c1ccccc1,4,5,0.0,0.0,0.8035714285714286,0.75,0.8571428571428571,0.8333333333333334,3,2,12,1
Oc1cccc(F)n1,1,2,0.0,0.0,0.9285714285714286,1.0,0.8571428571428571,0.875,1,1,6,0
CC(C)c1cccc(C(C)C)c1N1[C][C@]2(C[C@H](C)CC[C@H]2C(C)C)CC1(C)C,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,27,0
Cc1ccc([S-])c([S-])c1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,7,0
CC(C)(C)c1ccc([S-])c([S-])c1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,10,0
[O-]c1cc(O)ccc1/C=N/c1ccccc1[O-],3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,14,0
CC(C)[C@@H](N)c1ccccn1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,9,0
F[C](OC(F)(F)F)C(F)(F)C(F)(F)[C](F)OC(F)(F)F,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,18,0
CC1(C)c2cccc([C](F)C(F)(F)C(F)(F)[C](F)P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,4,5,0.0,0.0,0.9895833333333333,1.0,0.9791666666666666,0.9807692307692307,4,1,47,0
CC(C)OP(OC(C)C)OC(C)C,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,12,0
FC(F)=C(F)OC(F)(F)F,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,8,0
O=c1c([S-])c([S-])c1=O,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,6,0
O=C(N/N=C/c1cc2ccccc2c2ccc[c]c12)c1ccccc1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,22,0
COc1ccc(C(=O)N/N=C/c2cc3ccccc3c3ccc[c]c23)cc1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,24,0
O=[N+]([O-])c1ccc(/C([O-])=N/N=C/c2cc3ccccc3c3ccc[c]c23)cc1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,25,0
CC(C)(N)[P+](=O)(=O)[O-],2,4,0.0,0.0,0.8333333333333333,1.0,0.6666666666666666,0.75,2,2,4,0
NCCNCC[O-],3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,4,0
NCCNCCCl,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,5,0
COC(=O)c1cc(OP(C(C)(C)C)C(C)(C)C)[c]c(OP(C(C)(C)C)C(C)(C)C)c1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3,0,27,0
Cc1ncc(CO)c(/C=N/CCOCCOCC/N=C/c2c(CO)cnc(C)c2[O-])c1[O-],6,6,1.0,1.0,1.0,1.0,1.0,1.0,6,0,26,0
Cc1ccc2c(Cl)cc(Cl)c([O-])c2n1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0,12,0
