idx,smiles,metal_type,logK1_true,logK1_pred,uncertainty,cv,agreement_ratio,mean_attr,is_agreed,criterion_used,scenario,n_nodes
0,Brc1cc2cccn3->[Ag]<-n4cccc1c4c23,Ag,5.3,5.3926112174987795,0.18833694381660013,0.034924999452112415,0.5,-0.1168876588344574,True,mean,A,16
1,Brc1cc2cccn3->[Fe+2]<-n4cccc1c4c23,Fe,5.65,5.831072902679443,0.3346351348317972,0.05738826120284461,0.4375,0.0414944589138031,False,none,B,16
2,Brc1ccc(N->[Cd+2])cc1,Cd,-0.49,0.11075870990753174,0.4142118936563201,3.7397681320243796,0.7777777777777778,-0.8200324906243218,True,both,C,9
3,Brc1ccc2n(->[Ba+2]<-N2)c1,Ba,-0.34,-0.2033090114593506,0.14367055426451072,0.7066610241879814,0.5555555555555556,-0.35479274060991073,True,mean,C,9
4,Brc1ccc2n(->[Ca+2]<-N2)c1,Ca,-0.21,-0.11071834564208985,0.10443183529444225,0.9432206983297106,0.5555555555555556,-0.2860923608144124,True,mean,C,9
5,Brc1ccc2n(->[Cd+2]<-N2)c1,Cd,0.59,0.40770487785339354,0.0899162200897005,0.22054241922029064,0.6666666666666666,-0.32190877861446804,True,mean,C,9
6,Brc1ccc2n(->[Co+2]<-N2)c1,Co,0.09,0.49647141695022584,0.2751924714879406,0.554296706904942,0.6666666666666666,-0.54345526960161,True,mean,C,9
7,Brc1ccc2n(->[Cu+2]<-N2)c1,Cu,0.98,1.1445195078849792,0.4812100300262568,0.4204472066321625,0.8888888888888888,-1.2026484939787123,True,both,C,9
8,Brc1ccc2n(->[Mg+2]<-N2)c1,Mg,-0.08,-0.08014936447143554,0.09735831295529598,1.2147109786502865,0.5555555555555556,-0.15638726287417942,True,mean,C,9
9,Brc1ccc2n(->[Mn+2]<-N2)c1,Mn,-0.03,0.1465575098991394,0.12404551261501313,0.8463947886422266,0.7777777777777778,-0.2549791998333401,True,both,C,9
