idx,smiles,metal_type,logK1_true,logK1_pred,uncertainty,cv,agreement_ratio,mean_attr,is_agreed,criterion_used,scenario,n_nodes
0,O=C(O)CN1CCN(CC(=O)O)CCN2(CC(=O)O)->[Be+2]<-N(CC(=O)O)(CC1)CC2,Be,13.2,7.91496696472168,0.6601420645611615,0.08340427287991525,0.6551724137931034,0.17706190306564856,True,mean,A,29
1,O=S1(=O)(O)->[Be+2]<-O=C(O)c2cc1cc(Br)c2O,Be,10.31,6.722756385803223,0.38640687944773827,0.057477447831328944,0.375,-0.021213650703430176,True,mean,A,16
2,O=P1([O-])OP(=O)(O)[O-]->[Be+2]<-[O-]1,Be,10.08,11.646319961547851,0.2232550141283151,0.019169575871642416,0.8,1.2866873264312744,True,both,A,10
3,O=C(O)CN1(CC(=O)O)->[Be+2]<-N(CC(=O)O)(CC(=O)O)CC1,Be,9.7,8.081660079956055,0.48870590625628824,0.06047098014779973,0.6666666666666666,0.4105032966250465,True,mean,A,21
4,[Be+2]<-N,Be,9.5,2.9905824661254883,0.5938118726508494,0.19856060796750905,0.5,-0.5500644445419312,True,mean,C,2
5,[Be+2]<-N,Be,9.25,2.9905824661254883,0.5938118726508494,0.19856060796750905,0.5,-0.5500644445419312,True,mean,C,2
6,O=C(O)CCN1(CCC(=O)O)->[Be+2]<-O=C(O)CC1,Be,9.23,6.43233289718628,0.24286270106088748,0.03775655037492289,0.29411764705882354,0.010427166433895336,False,none,B,17
7,[Be+2]<-[OH-],Be,8.18,3.3351793766021727,0.38213975987976934,0.11457847291832537,0.5,0.03650379180908203,False,none,D,2
8,[Be+2]<-N,Be,8.1,2.9905824661254883,0.5938118726508494,0.19856060796750905,0.5,-0.5500644445419312,True,mean,C,2
9,CC1=O->[Be+2]<-O=C(C)C1,Be,7.9,5.44590311050415,0.3936778651930007,0.07228881182877972,0.625,-0.11699897050857544,True,mean,A,8
10,O=C(O)CN1(CC(=O)O)->[Be+2]<-O=C(O)C1,Be,7.79,6.263767051696777,0.43747807547275586,0.06984264770099463,0.42857142857142855,0.019294909068516324,False,none,B,14
11,CC1=O->[Be+2]<-O=C(C)C1,Be,7.55,5.44590311050415,0.3936778651930007,0.07228881182877972,0.625,-0.11699897050857544,True,mean,A,8
12,CC1=O->[Be+2]<-O=C(C)C1,Be,7.49,5.44590311050415,0.3936778651930007,0.07228881182877972,0.625,-0.11699897050857544,True,mean,A,8
13,[Be+2]<-O=c1cccccc1O,Be,7.4,5.806666564941406,0.6038070641151415,0.10398514489547488,0.6,0.014775609970092774,False,none,D,10
14,OC1=O->[Be+2]<-[O-]1,Be,7.34,5.253779029846191,0.3202889617638361,0.06096353880593505,0.4,0.2982810020446777,False,none,B,5
15,O=C(O)CN1(CC(=O)O)->[Be+2]<-O=C(O)C1,Be,6.84,6.263767147064209,0.4374781206352018,0.06984265384773207,0.42857142857142855,0.019294909068516324,False,none,B,14
16,O=C(O)CN1(CC(=O)O)->[Be+2]<-N(CC(=O)O)(CC(=O)O)c2ccccc21,Be,6.51,6.382873439788819,0.29574952289661094,0.04633485618765394,0.36,0.12367403030395507,False,none,B,25
17,O=C(O)CN1(CC(=O)O)->[Be+2]<-N(CC(=O)O)(CC(=O)O)c2ccccc21,Be,6.48,6.382873630523681,0.29574958150782876,0.04633486398563778,0.36,0.12367393493652344,False,none,B,25
18,[Be+2]<-P(C)(=O)(O)O,Be,6.1,5.045740604400635,0.35414436479358863,0.07018679566776029,0.3333333333333333,-0.5266789595286051,True,mean,A,6
19,O=C(O)CN1(CC(=O)O)->[Be+2]<-N(CC(=O)O)(CC(=O)O)c2cc(Cl)ccc21,Be,5.79,6.11435604095459,0.25801881839197016,0.042198854084344026,0.38461538461538464,0.060408408825214095,False,none,B,26
20,OC1=O->[Be+2]<-O=C(O)C1,Be,5.78,5.524532222747803,0.3109536283773964,0.056285965189417184,0.25,0.19581854343414307,False,none,B,8
21,CC1(C)C(O)=O->[Be+2]<-O=C1O,Be,5.54,6.178851699829101,0.12664025367248974,0.020495758730702734,0.5,-0.11684279441833496,True,mean,A,10
22,CC1C(O)=O->[Be+2]<-O=C1O,Be,5.39,5.818179798126221,0.1790565992000663,0.030775363672627055,0.4444444444444444,-0.018049875895182293,True,mean,A,9
23,OC1=O->[Be+2]<-O=C(O)C1,Be,5.36,5.524532222747803,0.3109536283773964,0.056285965189417184,0.25,0.19581854343414307,False,none,B,8
24,OC1=O->[Be+2]<-O=C(O)C1c1ccccc1,Be,5.13,5.4576818466186525,0.29568296315908277,0.054177390963578306,0.5714285714285714,0.02231386729649135,False,none,B,14
25,[Be+2]<-P(=O)(O)(O)CCl,Be,5.1,4.6482161521911625,0.3583441706464345,0.07709283710429679,0.7142857142857143,-0.3474750518798828,True,both,A,7
26,CC1(C)N->[Be+2]<-P1(=O)(O)O,Be,4.81,6.385629749298095,0.13486366358664312,0.021119868968517513,0.4444444444444444,-0.4285101890563965,True,mean,A,9
27,COC(=O)[C@@H]1Cc2c[nH](->[Be+2]<-N1)cn2,Be,4.8,5.62239351272583,0.22529705108962503,0.04007137717765281,0.6923076923076923,-0.21313139108511117,True,mean,A,13
28,O=C(O)C1(O)CC(O)=O->[Be+2]<-O=C(O)C1,Be,4.31,7.284386730194091,0.3216167026031322,0.04415151398675984,0.5714285714285714,0.21613543374197824,True,mean,A,14
29,OC1=O->[Be+2]<-O=C1O,Be,4.16,5.805395221710205,0.25900660225849237,0.04461480956367892,0.14285714285714285,0.5635894366673061,False,none,B,7
30,O=C(O)C1CC(O)=O->[Be+2]<-O=C(O)C1,Be,3.75,5.820276737213135,0.3706797337063577,0.06368764758835962,0.5384615384615384,-0.021372171548696663,True,mean,A,13
31,O=C(O)CN1(CC(=O)O)->[Be+2]<-N(CC(=O)O)(CC(=O)O)c2cccc1c2,Be,3.57,6.666167831420898,0.5128157218960386,0.07692811445263772,0.44,0.06974191665649414,False,none,B,25
32,OC1=O->[Be+2]<-O=C1O,Be,3.55,5.805395221710205,0.25900660225849237,0.04461480956367892,0.14285714285714285,0.5635894366673061,False,none,B,7
33,OC1=O->[Be+2]<-O=C1O,Be,3.5,5.805395221710205,0.25900660225849237,0.04461480956367892,0.14285714285714285,0.5635894366673061,False,none,B,7
34,O=S1(=O)(O)->[Be+2]<-O=Cc2cc1ccc2O,Be,3.4,5.58241720199585,0.48368746996802114,0.08664480859565478,0.5714285714285714,-0.04953830582754953,True,mean,A,14
35,OC1=O->[Be+2]<-O=C(O)c2ccccc21,Be,3.17,5.46461935043335,0.16292714761202742,0.02981491246944897,0.6923076923076923,-0.11982264885535607,True,mean,A,13
36,OC1=O->[Be+2]<-O=C(O)CC1,Be,3.13,5.223819160461426,0.3652403661299847,0.06991826380485242,0.3333333333333333,0.03282578786214193,False,none,B,9
37,O=C(O)C1=O->[Be+2]<-O=C(O)C1,Be,3.1,4.8739320755004885,0.19853879354010387,0.04073482979750319,0.5,-0.113254976272583,True,mean,A,10
38,OC1=O->[Be+2]<-O=C(O)CC1,Be,3.04,5.223819160461426,0.3652403661299847,0.06991826380485242,0.3333333333333333,0.03282578786214193,False,none,B,9
39,OC1=O->[Be+2]<-Nc2ccccc21,Be,1.96,5.252513694763183,0.2445488638587096,0.0465584438366201,0.7272727272727273,-0.1373044794256037,True,both,A,11
40,[Be+2]<-O=C(C)O,Be,1.62,4.229508781433106,0.1870925080185106,0.044235044230152204,0.4,-0.5964646339416504,True,mean,A,5
41,[Be+2]<-O=C(O)[C@@H](C)O,Be,1.3,5.45640344619751,0.5094517379567339,0.09336768129045948,0.5714285714285714,-0.40141180583408903,True,mean,A,7
42,[Be+2]<-O=C(O)C(C)(C)O,Be,1.16,5.880727672576905,0.11926603361257591,0.020280829219271455,0.625,-0.4161677956581116,True,mean,A,8
43,[Be+2]1<-N#CS->1,Be,-0.16,3.666616153717041,0.27911938111652596,0.07612451628828613,0.5,-0.22674167156219482,True,mean,A,4
44,O=[N+]1[O-]->[Be+2]<-[O-]1,Be,-0.6,2.9857194423675537,0.45359806644447437,0.1519225349870079,0.8,-0.5474020004272461,True,both,C,5
45,O=[N+]1[O-]->[Be+2]<-[O-]1,Be,-0.9,2.9857194423675537,0.45359806644447437,0.1519225349870079,0.8,-0.5474020004272461,True,both,C,5
46,O=C(O)CN1CCN2(CC(=O)O)->[Ga+3]<-N(CC(=O)O)(CC1)CC2,Ga,30.7,6.097125720977783,0.4545793191065341,0.07455633029552065,0.6818181818181818,-0.11265171657909047,True,mean,A,22
47,O=C(O)CN1CCN2(CC(=O)O)->[Ga+3]<-N(CC(=O)O)(CCOCC2)CC1,Ga,21.3,6.49532995223999,0.47285060139066765,0.07279854986082726,0.36,-0.036968231201171875,True,mean,A,25
48,O=C(O)CN1CCN(CC(=O)O)CCN2(CC(=O)O)->[Ga+3]<-N(CC(=O)O)(CC1)CC2,Ga,21.3,7.332349967956543,0.5685707103105757,0.07754276770684897,0.4827586206896552,-0.06042939218981513,False,none,B,29
49,O=C(O)CN1CCN(CC(=O)O)CCN2(CC(=O)O)->[Ga+3]<-N(CC(=O)O)(CCOCC2)CC1,Ga,19.98,7.896248435974121,0.44541046763842096,0.05640785890286808,0.71875,0.15837928652763367,True,both,A,32
50,O=C(O)CN1->[Ga+3]<-N(CC(=O)O)CC1,Ga,19.12,5.3701043128967285,0.5775362871218549,0.1075465677146822,0.6923076923076923,-0.027931066659780648,True,mean,C,13
51,OC1=O->[Ga+3]<-N[C@H]1CS,Ga,16.1,8.725116062164307,0.564468488597681,0.06469466819420873,0.5,0.09056693315505981,True,mean,A,8
52,C1CS->[Ga+3]<-N1,Ga,15.11,6.760135269165039,0.26781013890117544,0.03961609172566947,0.4,-0.1806931495666504,False,none,B,5
53,C1COCCN23->[Ga+3]<-N(CCO1)(CCOCCOCC2)CCOCC3,Ga,15.1,4.596468925476074,0.8030475332196145,0.17470966218627046,0.2916666666666667,0.020560622215270996,False,none,D,24
54,C1COCCN23->[Ga+3]<-N(CCO1)(CCOCC2)CCOCC3,Ga,14.8,4.658660221099853,0.7742217372183379,0.16618978428857245,0.3333333333333333,0.023176238650367373,False,none,D,21
55,O=S1(=O)(O)->[Ga+3]<-n2cccc3c1cc(I)c(O)c32,Ga,14.7,6.577337551116943,0.5547968055341521,0.08434975417065804,0.47058823529411764,-0.010253569659064798,True,mean,A,17
56,CCC1C(O)=C(O)C=CN1(->[Ga+3])CC,Ga,14.58,6.692889308929443,0.37369746129020764,0.05583499801672085,0.5384615384615384,0.04315739411574144,False,none,B,13
57,C1COCCN23->[Ga+3]<-N(CCO1)(CCOCCOCC2)CCOCCOCC3,Ga,13.5,4.551372528076172,0.8251310571182182,0.18129279728877618,0.25925925925925924,0.015330173351146557,False,none,D,27
58,CC1C(O)=C(O)C=CN1(C)->[Ga+3],Ga,13.17,6.831227588653564,0.40101993531131347,0.05870393426466919,0.5454545454545454,0.058051499453457917,True,mean,A,11
59,C1COCCN2->[Ga+3]<-N(CCO1)CCOCC2,Ga,12.9,4.507238912582397,0.8718547857678314,0.19343434033060986,0.1875,0.03107544779777527,False,none,D,16
60,C1COCCN2->[Ga+3]<-N(CCO1)CCOCCOCC2,Ga,12.9,4.451724910736084,0.8884849683245424,0.19958218132073058,0.2631578947368421,0.018888071963661594,False,none,D,19
61,O=C(O)CN1->[Ga+3]<-O=C(O)C1,Ga,12.76,5.298025131225586,0.41300005960204134,0.0779535863595465,0.8,-0.11629581451416016,True,both,A,10
62,C1CN->[Ga+3]<-N1,Ga,12.72,6.322512817382813,0.27823746698270335,0.04400741841404111,0.6,0.06301727294921874,False,none,B,5
